"Case ID","Case","Automation Status","Automation Test Level","Configurations","Created at","Created by","Description","Estimate","Expected","Folder","Forecast","Issues","Preconditions","Priority","State","Status (latest)","Status date","Steps","Steps (Expected)","Steps (Step)","Tags","Template","Test Case Category","Updated at","Updated by"
"348","Verify the inability to log in to the Picker App with a invalid PIN","To Be Automated","UI","","2024-01-16T12:08:18.469Z","Nadeera Abeykoon","","","","Login","","","User should have permission for picker standard functionality (Picker standard functionality permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
Picker app should be activated on the device","Normal","Active","","","","The application is opening with a splash screen and then navigating to the login screen
Should not be able to login to the Picker application and the validation message should be displayed as ""Wrong pin, Try again!"".","Launch the Picker App
Enter an invalid PIN","functional","Case (steps)","Regression","",""
"349","Verify the ability to log out from the Picker App and navigate to the PIN screen","To Be Automated","UI","","2024-01-16T12:08:18.482Z","Nadeera Abeykoon","","","","Login","","","User should have permission for picker standard functionality (Picker standard functionality permission is enabled in GC)
Picker app should have installed for the partner account in GrubCenter
Picker app should have activated on the device","Normal","Active","","","","The application is opening with a splash screen and then navigating to the login screen
Should be able to login navigate to the unclaimed order list screen
Should be navigated to login (PIN) screen","Launch the Picker App
Enter a valid PIN
Click on the ""Logout"" button on the unclaimed order list screen","functional","Case (steps)","Regression","",""
"350","Verify the ability to deactivate the Picker app with a user who has permission to deactivate Picker","To Be Automated","UI","","2024-01-16T12:08:18.497Z","Nadeera Abeykoon","","","","Deactivate","","","User should have permission to deactivate the application (Deactivate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
User should have logged into the Picker app","Normal","Active","","","","Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Should be deactivated the Picker App and should be navigated to the activation screen.","Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click on the ""Confirm"" button","functional","Case (steps)","Smoke","",""
"351","Verify the inability to deactivate the Picker app with a user who doesn't have permission to Deactivate Picker","To Be Automated","UI","","2024-01-16T12:08:18.513Z","Nadeera Abeykoon","","","","Deactivate","","","User should not have permission to deactivate the application (Deactivate Picker permission is disabled in GC)
Picker app should be installed for the partner account in GrubCenter
User should have logged into the Picker app","Normal","Active","","","","Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Should not be deactivated the Picker App and a notification message should be displayed as ""The user does not have the permission to deactivate"".","Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click on the ""Confirm"" button","functional","Case (steps)","Regression","",""
"352","Verify the ability to deactivate the Picker App for a user who didn't have deactivation permission before but received it after enabling it in GC","Not Automated","None","","2024-01-16T12:08:18.528Z","Nadeera Abeykoon","","","","Deactivate","","","User should not have permission to deactivate the application (Deactivate Picker permission is disabled in GC)
Picker app should have installed for the partner account in GrubCenter
User should have logged into the Picker app","Normal","Active","","","","Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Should not be deactivated the Picker App and a notification message should be displayed as ""The user does not have the permission to deactivate""
Should be able to see the role assigned to this user
Should be able to see all the permissions under the selected role
Should be able to tick the permission check boxes and the ""Save"" button should be enabled
An alert should be popped up and displayed as 'Successfully updated the role' and the updated role should be visible on Roles page
Should be navigated to the ""Unclaimed orders"" screen
Should be navigated to the login screen
Should be navigated to the ""Unclaimed orders"" section
Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Picker application should be deactivated and should be navigated to the activation screen","Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click on the ""Confirm"" button
Navigate to the ""Roles"" page under ""User Management"" section in GrubCenter
Click on the user role
Click on the ""Deactivate Picker"" permission checkbox under Picker app
Click on ""Save"" button
Than come back to the Picker App and click on ""X"" button on the settings screen
Click on the logout button
Enter the correct PIN
Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click on the ""Confirm"" button","functional","Case (steps)","Regression","",""
"353","Verify the inability to deactivate the Picker app with a user who has permission to deactivate Picker but selects 'Not Now' in the confirmation message","To Be Automated","UI","","2024-01-16T12:08:18.573Z","Nadeera Abeykoon","","","","Deactivate","","","User should have permission to deactivate the application (Deactivate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
User should have logged into the Picker app","Normal","Active","","","","Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Should not be deactivated the Picker app and the confirmation window should be closed","Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click on the ""Not Now"" button","functional","Case (steps)","Regression","",""
"354","Verify the inability to deactivate the Picker app with a user who has permission to deactivate Picker but closes the confirmation message","To Be Automated","UI","","2024-01-16T12:08:18.590Z","Nadeera Abeykoon","","","","Deactivate","","","User should have permission to deactivate the application (Deactivate Picker permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
User should have logged into the Picker app","Normal","Active","","","","Should be navigated to the settings screen and should be able to see the ""Deactivate"" button.
Deactivation confirmation message ""Are you sure you want to deactivate?"" should be visible with Not Now and Confirm buttons.
Should not be deactivated the Picker app and the confirmation window should be closed","Click on the settings icon on the unclaimed order list screen
Click on the ""Deactivate"" button
Click the close button on the deactivation confirmation window","functional","Case (steps)","Regression","",""
"355","Verify the availability of a validation message when there is a network connection error in every screen","Not Automatable","None","","2024-01-16T12:08:18.605Z","Nadeera Abeykoon","","","","Network Error","","","User should have all permissions under Picker App (All the permissions under Picker App are enabled in GC)
Picker app should be installed for the partner account in GrubCenter","Normal","Active","","","","The application is opening with a splash screen and then navigating to the activation screen
A network connection error message should be displayed as ""Server error. please check internet connection and try again"" on every screen on the Picker app
The network connection error message should be disappear as soon as the device is connected to the internet.
User should be navigated to the Kitchen Selection screen.
A network connection error message should be displayed as ""Server error. please check internet connection and try again"" on every screen on the Picker app
The network connection error message should be disappear as soon as the device is connected to the internet.
User should be navigated to the Login screen.
A network connection error message should be displayed as ""Server error. please check internet connection and try again"" on every screen on the Picker app
The network connection error message should be disappear as soon as the device is connected to the internet.
User should be navigated to the Unclaimed Orders List.
A network connection error message should be displayed as ""Server error. please check internet connection and try again"" on every screen on the Picker app
The network connection error message should be disappear as soon as the device is connected to the internet.
User should be navigated to the Settings.
A network connection error message should be displayed as ""Server error. please check internet connection and try again"" on every screen on the Picker app
The network connection error message should be disappear as soon as the device is connected to the internet.","Launch the Picker App
Turn off the network connection on the device
Turn on the network connect on the device
Activate the Picker App with valid credentials
Turn off the network connection on the device
Turn on the network connect on the device
Select the kitchen and and click on Next button
Turn off the network connection on the device
Turn on the network connect on the device
Login to the Picker app with valid PIN
Turn off the network connection on the device
Turn on the network connect on the device
Click on settings icon
Turn off the network connection on the device
Turn on the network connect on the device","functional","Case (steps)","Regression","",""
"356","Verify the visibility of grocery and food orders for the user with Picker standard functionality permission","Not Automated","None","","2024-01-16T12:08:18.656Z","Nadeera Abeykoon","","","","Permission","","","User should have permission for picker standard functionality (Picker standard functionality permission is enabled in GC)
Picker app should be installed for the partner account in GrubCenter
Picker app should be activated on the device","Normal","Active","","","","Should be redirected to the login screen
Should be able to login and view both grocery and food orders","Launch the Picker App
Enter the correct PIN","functional","Case (steps)","Regression","",""
"357","Verify the availability of notification for users who don't have Picker standard functionality permission when trying to log in with a PIN","To Be Automated","UI","","2024-01-16T12:08:18.668Z","Nadeera Abeykoon","","","","Permission","","","User should not have permission for picker standard functionality (Picker standard functionality permission is disabled in GC)
Picker app should have installed for the partner account in GrubCenter
Picker app should have activated on the device","Normal","Active","","","","Should be redirected to the login screen
Should not be able to login and the notification message should be displayed as ""The user does not have the permission to login""","Launch the Picker App
Enter the correct PIN","functional","Case (steps)","Regression","",""
